scheme_code,scheme_name,category,status
118882,Taurus Nifty 50 Index Fund - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option,Large Cap,ok
118883,Taurus Flexi Cap Fund - Direct Plan - Growth,Flexi Cap,ok
118884,Taurus Flexi Cap Fund - Direct Plan -  Payout of Income Distribution cum Capital Withdrawal option,Flexi Cap,ok
118885,Taurus MIP Advantage-Direct Plan-Growth Option,Other,ok
118887,Taurus Gilt Fund-Direct Plan-Growth Option,Long Duration,ok
118889,Taurus Short Term Income Fund-Direct Plan-Growth Option,Short Duration,ok
118893,Taurus Liquid Fund-Direct Plan-SI Growth Option,Liquid Fund,ok
118894,Taurus Ultra Short Term Bond Fund-Direct Plan-SI Growth Option,Short Duration,ok
118900,ICICI Prudential Capital Protection Oriented Fund III - PLAN D - 36 Months - Direct Plan - Cumulative,Other,skip
118919,JPMorgan India Fixed Maturity Plan - Series 12 - Direct Plan - Growth Option,Other,ok
118924,DSP Bond Fund - Direct Plan - Growth,Other,ok
118927,HDFC Focused Large-Cap Fund -Direct Plan - Growth Option,Other,ok
118929,HDFC Long Term Advantage Plan - Growth Option - Direct Plan,Other,ok
118931,HDFC ARBITRAGE FUND - Growth Option - Direct Plan,Arbitrage Fund,ok
118933,HDFC Balanced Fund -Direct Plan - Growth Option,Other,ok
118935,HDFC Value Fund - Growth Option - Direct Plan,Other,ok
118936,DWS Alpha Equity Fund - Direct Plan - Growth,Other,ok
118939,DWS Investment Opportunity Fund - Direct Plan - Growth,Other,ok
118942,HDFC Low Duration  Fund - Direct Plan - Growth,Other,ok
118946,DWS Tax Saving Fund - Direct Plan - Growth,ELSS,ok
118950,HDFC Focused Fund - Growth Option - Direct Plan,Other,ok
118951,DWS Top Euroland Offshore Fund - Direct Plan - Growth,Other,ok
118955,HDFC Flexi Cap Fund - Growth Option - Direct Plan,Flexi Cap,ok
118958,DWS Global Agribusiness Offshore Fund - Direct Plan - Growth,International FOF,ok
118961,HDFC Floating Rate Debt Fund - Direct Plan - Growth Option,Other,ok
118965,DWS Equity Income Fund - Direct Plan - Growth,Other,ok
118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,Balanced Advantage,ok
118972,DWS Income Advantage Fund - Direct Plan - Growth,Other,ok
118975,DWS Premier Bond Fund - Direct Plan - Growth,Other,ok
118979,HDFC Infrastructure Fund - Growth Option - Direct Plan,Sectoral - Infra,ok
118982,DWS Short Maturity Fund - Direct Plan - Growth,Other,ok
118987,HDFC Corporate Bond Fund - Growth Option - Direct Plan,Corporate Bond,ok
118989,HDFC Mid Cap Fund - Growth Option - Direct Plan,Mid Cap,ok
118991,HDFC Prudence Fund -Direct Plan - Growth Option,Other,ok
118994,DSP Regular Savings Fund - Direct Plan - Growth,Other,ok
118996,HDFC Quarterly Interval Fund - Plan A-Direct Plan - Retail Growth Option,Other,ok
119000,DWS Insta Cash Plus Fund - Direct Plan - Growth,Other,ok
119004,HDFC Quarterly Interval Fund - Plan B-Direct Plan - Retail Growth Option,Other,ok
119007,HDFC Quarterly Interval Fund - Plan C-Direct Plan - Retail Growth Option,Other,ok
119009,DWS Treasury Fund - Cash Plan - Direct Plan - Growth,Other,ok
119016,HDFC Short Term  Debt Fund - Growth Option - Direct Plan,Short Duration,ok
119018,HDFC Large Cap Fund - Growth Option - Direct Plan,Large Cap,ok
119019,DSP Aggressive Hybrid Fund - Direct Plan - Growth,Aggressive Hybrid,ok
119022,DWS Treasury Fund - Investment - Direct Plan - Growth,Other,ok
119028,DSP Natural Resources and New Energy Fund - Direct Plan - Growth,Sectoral - Energy,ok
119033,DWS Low Duration Fund - Direct Plan - Growth,Other,ok
119038,DWS Ultra Short Term Fund - Direct Plan - Growth,Short Duration,ok
119049,DWS Cash Opportunities Fund - Direct Plan - Growth,Other,ok
119053,Tata Aggressive Hybrid Fund -Direct Plan- Growth Option,Aggressive Hybrid,ok
119054,DWS Gilt Fund - Direct Plan - Growth,Long Duration,ok
119060,HDFC ELSS Tax saver - Growth Option - Direct Plan,ELSS,ok
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,Other,ok
119063,HDFC Nifty 50 Index Fund - Direct Plan,Large Cap,ok
119064,HDFC Index Fund Sensex Plus Plan-Direct Plan,Index Fund,ok
119065,HDFC BSE Sensex Index Fund - Direct Plan,Index Fund,ok
119066,HDFC Childrens Fund - Direct Plan,Solution - Children,ok
119067,HDFC Childrens Gift Fund Savings Plan-Direct Plan,Solution - Children,ok
119069,HDFC Income Fund - Growth Option - Direct Plan,Other,ok
119071,DSP Midcap Fund - Direct Plan - Growth,Mid Cap,ok
119075,HDFC Dynamic Debt Fund - Growth Option - Direct Plan,Other,ok
119076,DSP Flexi Cap Fund - Direct Plan - Growth,Flexi Cap,ok
119079,HDFC Regular Savings Fund -Direct Plan - Growth Option,Other,ok
119081,HDFC Medium Term Debt Fund - Growth Option - Direct Plan,Medium Duration,ok
119082,DSP Credit Risk Fund - Direct Plan - Growth,Credit Risk,ok
119091,HDFC Liquid Fund - Growth Option - Direct Plan,Liquid Fund,ok
119092,HDFC Money Market Fund - Growth Option - Direct Plan,Liquid Fund,ok
119096,DSP Focused Fund - Direct Plan - Growth,Other,ok
119097,Tata Dynamic Bond Fund- Direct Plan-Growth Option,Dynamic Bond,ok
119099,DSP Gilt Fund - Direct Plan - Growth,Long Duration,ok
