scheme_code,scheme_name,category,status
142917,Franklin India Fixed Maturity Plans- Series 3- Plan D(1132 days)- Growth-Direct,Other,ok
142923,Aditya Birla Sun Life Fixed Term Plan - Series PM (1141 days) - Direct Plan-Growth,Other,ok
142939,DSP FMP Series - 226 - 39M - Direct Plan - Growth,Other,ok
142942,TATA Fixed Maturity Plan Series 53 Sch B- Direct Plan -Payout of Income Distribution cum capital withdrawal option  ,Other,ok
142943,Tata Fixed Maturity Plan Series 53 Scheme B Direct Plan Growth,Other,ok
142951,ICICI Prudential Bharat Consumption Fund - Series 1 - Direct Plan - Cumulative Option,Sectoral - Consumption,ok
142953,SBI DEBT FUND SERIES C - 13 (91 DAYS) - DIRECT PLAN - GROWTH,Other,skip
142959,SBI DEBT FUND SERIES C - 14 (1122 DAYS) - DIRECT PLAN - GROWTH,Other,ok
142961,ICICI Prudential Fixed Maturity Plan - Series 82 - 1135 Days Plan U - Direct Plan Cumulative Option,Other,ok
142969,Aditya Birla Sun Life Fixed Term Plan - Series PN (1135 days) - Direct Plan-Growth,Other,ok
142977,ICICI Prudential Fixed Maturity Plan - Series 82 - 1135 Days Plan V - Direct Plan Cumulative Option,Other,ok
142983,Aditya Birla Sun Life Fixed Term Plan - Series PO (1140 days) - Direct Plan-Growth,Other,ok
142989,HSBC Fixed Term Series 131 - Direct Plan Growth Option,Other,ok
143000,Aditya Birla Sun Life Resurgent India Fund - Series 7 - Direct Plan-Growth,Other,ok
143005,HDFC FMP 1145D March 2018 (1) - Growth Option - Direct Plan,Other,ok
143010,Sundaram Emerging Small Cap Series II Direct Plan - Growth,Small Cap,ok
143024,Kotak FMP Series 221-Direct plan-Growth Option,Other,ok
143029,Kotak FMP Series 223-Direct Plan-Growth Option,Other,ok
143032,Kotak FMP Series 223-Direct Plan-Payout of Income Distribution cum capital withdrawal Option,Other,ok
143037,DSP FMP Series - 227 - 39M - Direct Plan - Growth,Other,ok
143039,UTI FTIF Series XXVIII-XIV (1147 Days) - Direct Plan - Growth OptionI,Other,ok
143050,HSBC Fixed Term Series 133 - Direct Plan Growth Option,Other,ok
143054,HDFC FMP 1177D March 2018 (1) - Growth Option - Direct Plan,Other,ok
143061,Kotak FMP Series 224-Direct Plan-Growth Option,Other,ok
143075,Aditya Birla Sun Life Fixed Term Plan - Series PR (1134 days) - Direct Plan-Growth,Other,ok
143079,Sundaram Long Term Tax Advantage Fund Series IV Direct Plan - Growth,Other,ok
143082,Nippon India Fixed Horizon Fund XXXVII- Series 1- Direct Plan- Growth Option,Other,ok
143085,UTI Capital Protection Oriented Scheme Series X-II ( 1134 Days) - Direct Plan - Growth Option,Other,ok
143100,UTI Fixed Term Income Fund Series XXIX -I (1134 days) - Direct Plan - Growth Option,Other,ok
143103,UTI Fixed Term Income Fund Series XXIX-I (1134 days) - Direct Plan - Flexi Div Option,Other,skip
143132,ICICI Prudential Fixed Maturity Plan - Series 82 - 1119 Days Plan X - Direct Plan Cumulative Option,Other,ok
143145,ICICI Prudential Fixed Maturity Plan - Series 82 - 1141 Days Plan Y - Direct Plan Cumulative Option,Other,ok
143153,ICICI Prudential Bharat Consumption Fund - Series 2 - Direct Plan - Cumulative Option,Sectoral - Consumption,ok
143160,HDFC FMP 1183D April 2018 (1) - Growth Option - Direct Plan,Other,ok
143163,Navi Aggressive Hybrid Fund - Direct Plan - Growth,Aggressive Hybrid,ok
143171,Nippon India Fixed Horizon Fund XXXVII- Series 3- Direct Plan- Growth Option,Other,ok
143174,Nippon India Fixed Horizon Fund XXXVII- Series 4- Direct Plan- Growth Option,Other,ok
143178,SBI Long Term Advantage Fund - Series VI - Direct Plan - Growth,Other,ok
143180,Kotak FMP Series 225-Direct Plan-Payout of Income Distribution cum capital withdrawal Option,Other,ok
143183,Kotak FMP Series 225-Direct Plan-Growth Option,Other,ok
143202,Axis Fixed Term Plan - Series 92 (154 Days) - Direct Plan - Growth Option,Other,skip
143210,UTI Fixed Term Income Fund Series XXIX-II ( 1118 Days) - Direct Plan - Growth Option,Other,ok
143212,IIFL CAPITAL ENHANCER FUND SERIES 1-DIRECT PLAN-GROWTH,Other,ok
143226,Sundaram Emerging Small Cap Series III Direct Plan - Growth,Small Cap,ok
143230,HDFC FMP 1181D April 2018 (1) - Growth Option - Direct Plan,Other,ok
143234,HDFC FMP 1146D April 2018 (1) - Growth Option - Direct Plan,Other,ok
143241,Union Corporate Bond Fund - Direct Plan - Growth Option,Corporate Bond,ok
143244,Kotak India Growth Fund Series 5-Direct Plan-Growth Option,Other,ok
143245,Kotak India Growth Fund Series 5-Direct PLan-ayout of Income Distribution cum capital withdrawal option ,Other,ok
143253,HDFC FMP 1434D May 2018 (1) - Growth Option - Direct Plan,Other,ok
143256,Nippon India Fixed Horizon Fund XXXVII- Series 5- Direct Plan- Growth Option,Other,ok
143269,Parag Parikh Liquid Fund- Direct Plan- Growth,Liquid Fund,ok
143272,Nippon India Fixed Horizon Fund XXXVII- Series 6- Direct Plan- Growth Option,Other,ok
143274,UTI Fixed Term Income Fund Series XXIX-III (1131 days) - Direct Plan - Growth Option,Other,ok
143286,Aditya Birla Sun Life Fixed Term Plan - Series PT (1100 days) - Direct Plan-Growth,Other,ok
143291,Reliance Fixed Horizon Fund XXXVII- Series 7- Direct Plan- Growth Option,Other,skip
143296,DSP  FMP Series - 228 - 3M - Direct Plan - Growth,Other,skip
143304,Aditya Birla Sun Life Fixed Term Plan - Series PU (1463 days) - Direct Plan-Growth,Other,ok
143307,IDFC FIXED TERM PLAN SERIES - 146 (212 DAYS) - DIRECT - GROWTH,Other,skip
143312,Tata Fixed Maturity Plan Series 54 Scheme A-Direct Plan Growth,Other,ok
143315,TATA Fixed Maturity Plan Series 54 Sch A- Direct Plan -Payout of Income Distribution cum capital withdrawal option  ,Other,ok
143318,Aditya Birla Sun Life Fixed Term Plan - Series PV (1462 days) - Direct Plan-Growth,Other,ok
143324,SUNDARAM FIXED TERM PLAN IH  DIRECT GROWTH,Other,skip
143341,UTI Nifty Next 50 Index Fund - Direct Plan - Growth Option,Index Fund,ok
143343,Kotak FMP Series 226 - Direct Plan- Growth Option,Other,ok
143345,KOtak FMP Series 226 - Direct Plan- Payout of Income Distribution cum capital withdrawal Option,Other,ok
143348,Reliance Fixed Horizon Fund XXXVII- Series 8- Direct Plan- Growth Option,Other,skip
143353,IDBI Banking & Financial Services Fund - Direct Plan (Growth),Sectoral - Banking,ok
143355,DHFL Pramerica Fixed Duration Fund - Series AW - Direct Plan - Growth Option,Other,skip
143360,UTI Fixed Term Income Fund Series XXIX-IV (1422 days) - Direct Plan - Growth Option,Other,ok
143363,SBI DUAL ADVANTAGE FUND - SERIES XXVIII - DIRECT PLAN - GROWTH,Other,ok
143370,Franklin India Fixed Maturity Plans -series 3- Plan E (1104) days- Growth -Direct,Other,ok
143380,ICICI Prudential Fixed Maturity Plan - Series 83 - 1105 Days Plan A - Direct Plan Cumulative Option,Other,ok
143387,ICICI Prudential Fixed Maturity Plan - Series 82 - 91 Days Plan Z - Direct Plan Cumulative Option,Other,skip
143392,ICICI Prudential Fixed Maturity Plan - Series 83 - 1412 Days Plan B - Direct Plan Cumulative Option,Other,ok
143396,IL&FS Infrastructure Debt Fund Series 3B - Growth - Direct,Sectoral - Infra,skip
143399,HDFC FMP 1134D May 2018 (1) - Growth Option - Direct Plan,Other,ok
143406,DSP  FMP Series - 230 - 9M - Direct Plan - Growth,Other,skip
143410,CANARA ROBECO DUAL ADVANTAGE FUND SERIES 1 - DIRECT PLAN - GROWTH OPTION,Other,ok
143414,Aditya Birla Sun Life Fixed Term Plan - Series PW (1100 days) - Direct Plan-Growth,Other,ok
143437,UTI Fixed Term Income Fund Series XXIX-V (1113 days) - Direct Plan - Growth Option,Other,ok
143440,ICICI Prudential Fixed Maturity Plan - Series 83 - 91 Days Plan C - Direct Plan Cumulative Option,Other,skip
143443,ICICI Prudential Fixed Maturity Plan - Series 83 - 1406 Days Plan D - Direct Plan Cumulative Option,Other,ok
143453,Nippon India Fixed Horizon Fund XXXVII- Series 9- Direct Plan- Growth Option,Other,ok
143457,Nippon India Fixed Horizon Fund XXXVII- Series 10- Direct Plan- Growth Option,Other,ok
143466,DHFL Pramerica Fixed Duration Fund - Series AX - Direct Plan - Growth Option,Other,skip
143471,PGIM India Fixed Duration Fund - Series AY - Direct Plan - Growth Option,Other,ok
143479,Kotak FMP Series 227 - Direct Plan - Growth Option.,Other,skip
143484,Sundaram Fixed Term Plan II Direct Plan Growth,Other,skip
143486,SBI DEBT FUND SERIES C -15 (91 DAYS) - DIRECT PLAN - GROWTH,Other,ok
143489,SBI DEBT FUND SERIES C -16 (1100 DAYS) - DIRECT PLAN - GROWTH,Other,ok
143494,Nippon India Ultra Short Duration Fund- Direct Plan- Growth Option,Short Duration,ok
143506,Sundaram Emerging Small Cap Series IV Direct Plan - Growth,Small Cap,ok
143508,Baroda BNP Paribas Ultra Short Duration Fund- Direct Plan- Growth,Short Duration,ok
143512,ICICI Prudential Fixed Maturity Plan - Series 83 - 1113 Days Plan E - Direct Plan Cumulative Option,Other,ok
143520,ICICI Prudential Fixed Maturity Plan - Series 83 - 1105 Days Plan F - Direct Plan Cumulative Option,Other,ok
143529,Reliance Fixed Horizon Fund XXXVII- Series 11- Direct Plan- Growth Option,Other,skip
143537,Invesco India Aggressive Hybrid Fund - Direct Plan - Growth,Aggressive Hybrid,ok
143539,IDFC FIXED TERM PLAN SERIES - 148 (91 DAYS) - DIRECT - GROWTH,Other,skip
143547,Aditya Birla Sun Life Fixed Term Plan - Series PY (1409 days) - Direct Plan-Growth,Other,ok
143548,Invesco India Fixed Maturity Plan - Series 31 - Plan D - Direct - Growth,Other,ok
143557,Aditya Birla Sun Life Fixed Term Plan - Series PZ (1120 days) - Direct Plan-Growth,Other,ok
143561,Aditya Birla Sun Life Fixed Term Plan - Series QA (181 days) - Direct Plan-Growth,Other,skip
143562,UTI Fixed Term Income Fund Series XXIX-VI (1135 days) - Direct Plan - Growth Option,Other,ok
143579,IDFC Fixed Term Plan Series 149 Direct Plan -Growth (1424 Days),Other,ok
143581,HDFC FMP 97D May 2018 (1)-Direct option-Growth option,Other,skip
143591,DSP  FMP Series - 231 - 3M - Direct Plan - Growth,Other,skip
143597,JM Money Market Fund (Direct) - Growth,Liquid Fund,ok
143612,JM Low Duration Fund (Direct) - Growth,Other,ok
143614,BANK OF INDIA Arbitrage Fund Direct Plan Growth,Sectoral - Banking,ok
143623,Kotak FMP Series 228-Direct Plan - Growth Option,Other,ok
143625,Kotak FMP Series 229 - Direct Plan - Growth Option,Other,skip
143633,IDFC FIXED TERM PLAN SERIES - 150 (202 DAYS) - DIRECT - GROWTH,Other,skip
143638,Aditya Birla Sun Life Fixed Term Plan - Series QB (1113 days) - Direct Plan-Growth,Other,ok
143643,Nippon India Fixed Horizon Fund XXXVII- Series 12- Direct Plan- Growth Option,Other,ok
143648,Reliance Fixed Horizon Fund XXXVII- Series 13- Direct Plan- Growth Option,Other,skip
143655,Axis Fixed Term Plan - Series 93 (91 Days) - Direct Plan - Growth Option,Other,skip
143664,HDFC FMP 1119D June 2018 (1) - Growth Option - Direct Plan,Other,ok
143668,HSBC Fixed Term Series 134 - Direct Plan Growth Option,Other,ok
143677,PGIM India Fixed Duration Fund - Series AZ - Direct Plan - Growth Option,Other,ok
143683,PGIM India Fixed Duration Fund - Series BA - Direct Plan - Growth Option,Other,ok
143692,Aditya Birla Sun Life Fixed Term Plan - Series QC (1116 days) - Direct Plan-Growth,Other,ok
143696,DSP FMP Series - 232 - 36M - Direct Plan - Growth - Mat Date 14-Jun-2021,Other,ok
143704,Nippon India Nivesh Lakshya Long Duration Fund- Direct Plan- Growth Option,Long Duration,ok
143717,ICICI Prudential Fixed Maturity Plan - Series 83 - 1108 Days Plan H - Direct Plan Cumulative Option,Other,ok
143726,ICICI Prudential Fixed Maturity Plan - Series 83 - 193 Days Plan G - Direct Plan Cumulative Option,Other,skip
143735,ICICI Prudential Fixed Maturity Plan - Series 83 - 1392 Days Plan J - Direct Plan Cumulative Option,Other,ok
143741,UTI Fixed Term Income Fund Series XXIX-VII (1135 days) - Direct Plan - Growth Option,Other,ok
143749,Tata Fixed Maturity Plan Series 55 Scheme A - Direct Plan - Growth,Other,ok
143750,TATA Fixed Maturity Plan Series 55 Sch A- Direct Plan - Payout of Income Distribution cum capital withdrawal option  ,Other,ok
143752,Tata Fixed Maturity Plan Series 54 Scheme B - Direct Plan - Growth,Other,skip
143755,Nippon India Fixed Horizon Fund XXXVII- Series 15- Direct Plan- Growth Option,Other,ok
143762,HDFC FMP 1113D JUNE 2018 (1) - Growth Option - Direct Plan,Other,ok
143771,SBI DEBT FUND SERIES C - 17 (91 DAYS) - DIRECT PLAN - GROWTH,Other,skip
143775,SBI DEBT FUND SERIES C - 18 (1100 DAYS) - DIRECT PLAN - GROWTH,Other,ok
143780,Franklin India Fixed Maturity Plans - Series 3 Plan F (1098 days) - Growth Direct,Other,ok
143783,Mirae Asset Healthcare Fund Direct Growth,Sectoral - Pharma,ok
143793,Navi Flexi Cap Fund - Direct Plan - Growth,Flexi Cap,ok
143799,UTI Fixed Term Income Fund Series XXIX-VIII (1127 days) - Direct Plan - Growth Option,Other,ok
143810,Tata Fixed Maturity Plan Series 55 Scheme B Direct Plan Growth,Other,ok
143811,TATA Fixed Maturity Plan Series 55 Sch B- Direct Plan - Payout of Income Distribution cum capital withdrawal option ,Other,ok
143819,IDFC FIXED TERM PLAN SERIES - 151 (267 DAYS) - DIRECT PLAN - GROWTH,Other,skip
143822,HDFC FMP 1124D June 2018 (1) - Growth Option - Direct Plan,Other,ok
143828,Sundaram Multi Cap Fund Series I Direct Plan - Growth,Multi Cap,ok
143832,Axis Fixed Term Plan - Series 94 (177 Days) - Direct Plan - Growth Option,Other,skip
143835,Tata Value Fund Series 1 Direct Plan Growth,Other,ok
143836,TATA Value Fund - Series1  Direct Plan - Payout of Income Distribution cum capital withdrawal option  ,Other,ok
143845,Invesco India Fixed Maturity Plan - Series 32 - Plan A - Direct - Growth,Other,ok
143848,Kotak FMP Series 230-Direct Plan-Growth Option,Other,ok
143849,Kotak FMP Series 230-Direct Plan-Payout of Income Distribution cum capital withdrawal Option,Other,ok
143854,DSP FMP Series - 233 - 36M - Direct Plan - Growth,Other,ok
143870,UTI Fixed Term Income Fund Series XXIX-IX (1109 days) - Direct Plan - Growth Option,Other,ok
143874,ICICI Prudential Pharma Healthcare and Diagnostics (P.H.D) Fund - Direct Plan - Cumulative Option,Sectoral - Pharma,ok
143878,ICICI Prudential Fixed Maturity Plan - Series 83 - 1103 Days Plan L - Direct Plan Cumulative Option,Other,ok
143892,IDFC Fixed Term Plan Series 152 Direct Plan -Growth (1452 Days),Other,ok
143895,IDFC FIXED TERM PLAN SERIES - 153(174 DAYS) - DIRECT PLAN - GROWTH,Other,skip
143901,Nippon India Fixed Horizon Fund XXXVIII- Series 1- Direct Plan- Growth Option,Other,ok
143903,ICICI Prudential BHARAT 22 FOF - Direct Plan Cumulative Option,FOF - Domestic,ok
143920,Aditya Birla Sun Life Fixed Term Plan - Series QE (1101 days) - Direct Plan-Growth,Other,ok
143924,Invesco India Fixed Maturity Plan - Series 32 - Plan B - Direct - Growth,Other,ok
143928,Aditya Birla Sun Life Fixed Term Plan - Series QF (1385 days) - Direct Plan-Growth,Other,ok
143935,IDFC Fixed Term Plan Series 154 Direct Plan -Growth (1098 Days),Other,ok
143940,DSP FMP Series - 235 - 36M - Direct Plan - Growth,Other,ok
143946,Nippon India Fixed Horizon Fund XXXVIII- Series 2- Direct Plan- Growth Option,Other,ok
143949,Nippon India Fixed Horizon Fund XXXVIII- Series 3- Direct Plan- Growth Option,Other,ok
143954,ICICI Prudential Fixed Maturity Plan - Series 83 - 1105 Days Plan M - Direct Plan Cumulative Option,Other,ok
143961,ICICI Prudential Bharat Consumption Fund - Series 3 - Direct Plan - Cumulative Option,Sectoral - Consumption,ok
143975,Sundaram Fixed Term Plan IJ Direct Plan - Growth,Other,ok
143978,Edelweiss Fixed Maturity Plan - Series 49 - Direct Growth,Other,ok
143986,Aditya Birla Sun Life Fixed Term Plan - Series QG (1100 days) - Direct Plan-Growth,Other,ok
143987,Aditya Birla Sun Life Fixed Term Plan - Series QH (1101 days) - Direct Plan-Growth,Other,ok
143994,Kotak FMP Series 232-Direct Plan-Growth Option,Other,ok
143997,UTI Fixed Term Income Fund Series XXIX-XI (1112 days) - Direct Plan - Growth Option,Other,ok
144007,Franklin India Fixed maturity Plans- Series 4- Plan A (1098 days) - Growth - Direct,Other,ok
144016,Axis Fixed Term Plan - Series 95 (1185 Days) - Direct Plan - Growth Option,Other,ok
144017,Reliance Fixed Horizon Fund XXXVIII- Series 4- Direct Plan- Growth Option,Other,skip
144030,HDFC FMP 1099D June 2018 (1) - Growth Option - Direct Plan,Other,ok
144037,SBI Debt Fund Series C - 19 (1100 Days) - Direct Plan - Growth,Other,ok
144040,L&T FMP Series XVII - Plan B - Direct Plan - Growth Option,Other,ok
144049,Aditya Birla Sun Life Fixed Term Plan - Series QI (1100 days) - Direct Plan-Growth,Other,ok
144063,Kotak FMP Series 233 - Direct Plan - Growth Option,Other,ok
144064,Kotak FMP Series 233 - Direct Plan - Payout of Income Distribution cum capital withdrawal Option,Other,ok
144065,ICICI Prudential Fixed Maturity Plan - Series 83 - 1100 Days Plan O - Direct Plan Cumulative Option,Other,ok
144078,ICICI Prudential Fixed Maturity Plan - Series 83 - 1735 Days Plan P - Direct Plan Cumulative Option,Other,ok
144084,Nippon India Fixed Horizon Fund XXXVIII- Series 5- Direct Plan - Growth Option,Other,ok
144096,UTI Fixed Term Income Fund Series XXIX-XIII (1122 days) - Direct Plan - Growth Option,Other,ok
144110,HDFC FMP 1122D July 2018 (1) - Growth Option - Direct Plan,Other,ok
144114,SBI Dual Advantage Fund - Series XXIX - Direct Plan - Growth,Other,ok
144117,HSBC Fixed Term Series 135 - Direct Plan Growth Option,Other,ok
144119,DSP FMP Series - 236 - 36M - Direct Plan - Growth,Other,ok
144125,PGIM India Fixed Duration Fund - Series BB - Direct Plan - Growth Option,Other,ok
144135,Aditya Birla Sun Life Fixed Term Plan - Series QJ (1098 days) - Direct Plan-Growth,Other,ok
144144,IDFC Fixed Term Plan Series 156 Direct Plan -Growth (1103 days),Other,ok
144150,IDFC Equity Opportunity - Series 6 (1194 DAYS)-Direct Plan Growth,Other,ok
144158,Aditya Birla Sun Life Fixed Term Plan - Series QK (1099 days) - Direct Plan-Growth,Other,ok
144159,Nippon India Fixed Horizon Fund XXXVIII- Series 6- Direct Plan -Growth Option,Other,ok
144164,ICICI Prudential Fixed Maturity Plan - Series 83 - 1107 Days Plan Q - Direct Plan Cumulative Option,Other,ok
144173,BANDHAN ULTRA SHORT DURATION FUND - DIRECT PLAN GROWTH,Short Duration,ok
144186,Aditya Birla Sun Life Fixed Term Plan - Series QL (1099 days) - Direct Plan-Growth,Other,ok
144200,Sundaram Multi Cap Fund Series II Direct Plan - Growth,Multi Cap,ok
144201,UTI Fixed Term Income Fund Series XXIX-XIV (1131 days) - Direct Plan - Growth Option,Other,ok
144211,TATA Value Fund - Series2 Direct Plan - Payout of Income Distribution cum capital withdrawal option ,Other,ok
144213,Tata Value Fund Series 2 -Direct Plan-Growth,Other,ok
144215,DSP FMP Series - 237 - 36M - Direct Plan - Growth,Other,ok
144226,Aditya Birla Sun Life Fixed Term Plan - Series QM (1100 days) - Direct Plan-Growth,Other,ok
144227,UTI Fixed Term Income Fund Series XXIX-XV (1124 days) - Direct Plan - Growth Option,Other,ok
144237,Sundaram Fixed Term Plan IK Direct Plan - Growth,Other,ok
144243,DSP FMP Series - 238 - 36M - Direct Plan - Growth,Other,ok
144248,Nippon India Fixed Horizon Fund XXXVIII- Series 7- Direct Plan- Growth Option,Other,ok
144252,Reliance Fixed Horizon Fund XXXVIII- Series 8- Direct Plan- Growth Option,Other,skip
144268,Franklin India Fixed Maturity Plans - Series 4 - Plan B (1098 days)- Growth - Direct,Other,ok
144275,IDFC Fixed Term Plan Series 159 DIRECT PLAN-GROWTH (1098 days),Other,ok
144279,Kotak FMP Series 234 - Direct Plan - Growth Option,Other,ok
144283,Kotak FMP Series 235 - Direct Plan - Growth option,Other,ok
144287,Tata Fixed Maturity Plan Series 55 Scheme D-Direct Plan -Growth,Other,ok
144288,TATA Fixed Maturity Plan Series 55 Sch D- Direct Plan - Payout of Income Distribution cum capital withdrawal option ,Other,ok
144291,TATA Fixed Maturity Plan Series 55 Sch E- Direct Plan - Payout of Income Distribution cum capital withdrawal option ,Other,ok
144293,Tata Fixed Maturity Plan Series 55 Scheme E-Direct Plan-Growth,Other,ok
144299,DSP FMP Series - 239 - 36M - Direct Plan - Growth,Other,ok
144302,ICICI Prudential Fixed Maturity Plan - Series 83 - 1100 Days Plan R - Direct Plan Cumulative Option,Other,ok
144312,Union Equity Savings Fund - Direct Plan - Growth Option,Equity Savings,ok
144315,BANK OF INDIA Midcap Tax Fund Series 2 Direct Plan Growth,Mid Cap,ok
144319,Aditya Birla Sun Life Fixed Term Plan - Series QN (1100 days) - Direct Plan-Growth,Other,ok
144326,Aditya Birla Sun Life Fixed Term Plan - Series QO (1100 days) - Direct Plan-Growth,Other,ok
144332,Invesco India Fixed Maturity Plan - Series 32 - Plan C - Direct - Growth,Other,ok
144334,Kotak Balanced Advantage Fund -Direct Plan  -Payout of Income Distribution cum capital withdrawal option,Balanced Advantage,ok
144335,Kotak Balanced Advantage Fund  - Direct Plan -Growth Option,Balanced Advantage,ok
144339,UTI Corporate Bond Fund - Direct Plan - Growth Option,Corporate Bond,ok
144349,SBI Debt Fund Series C - 20 - (1100 Days) - Direct Plan - Growth,Other,ok
144352,Nippon India Fixed Horizon Fund XXXVIII- Series 10- Direct Plan- Growth Option,Other,ok
144356,HDFC FMP 1133D JULY 2018 (1) - Growth Option - Direct Plan,Other,ok
144366,SBI Debt Fund Series C - 21 (1100 Days) - Direct Plan - Growth,Other,ok
144369,PGIM India Fixed Duration Fund - Series BC - Direct Plan - Growth Option,Other,ok
144376,ICICI Prudential Fixed Maturity Plan - Series 83 - 1100 Days Plan S - Direct Plan Cumulative Option,Other,ok
144386,Aditya Birla Sun Life Fixed Term Plan - Series QP (1100 days) - Direct Plan-Growth,Other,ok
144388,ICICI Prudential Fixed Maturity Plan - Series 83 - 1110 Days Plan T - Direct Plan Cumulative Option,Other,ok
144394,Axis Aggressive Hybrid Fund - Direct Plan - Growth Option,Aggressive Hybrid,ok
144403,Mahindra Manulife Dynamic Bond Fund - Direct Plan - Growth,Dynamic Bond,ok
144412,Aditya Birla Sun Life Fixed Term Plan - Series QS (1100 days) - Direct Plan-Growth,Other,ok
144437,Sundaram Emerging Small Cap Series V Direct Plan - Growth,Small Cap,ok
144448,ICICI Prudential Bharat Consumption Fund - Series 4 - Direct Plan - Cumulative Option,Sectoral - Consumption,ok
144455,IDBI Long Term Value Fund-Direct Plan- Growth,Other,ok
144459,Kotak FMP Series 237 - Direct Plan-Growth Option,Other,ok
144466,Franklin India Equity Savings Fund- Growth Direct,Equity Savings,ok
144482,Nippon India Fixed Horizon Fund XXXVIII- Series 11- Direct Plan- Growth Option,Other,ok
144490,UTI Equity Savings Fund - Direct Plan - Growth Option,Equity Savings,ok
144494,SBI Debt Fund Series C - 22 (1100 Days) - Direct Plan - Growth,Other,ok
144500,Aditya Birla Sun Life Fixed Term Plan - Series QT (1100 days) - Direct Plan-Growth,Other,ok
144503,HDFC FMP 1141D August 2018 (1) - Growth Option - Direct Plan,Other,ok
144510,Aditya Birla Sun Life Fixed Term Plan - Series QU (1100 days) - Direct Plan-Growth,Other,ok
144520,DSP FMP Series - 241 - 36M - Direct Plan - Growth,Other,ok
144525,HDFC FMP 1105D August 2018 (1) - Growth Option - Direct Plan,Other,ok
144528,Nippon India Fixed Horizon Fund XXXVIII- Series 12- Direct Plan- Growth Option,Other,ok
144534,IDFC Fixed Term Plan Series 160 DIRECT PLAN-GROWTH (1105 days),Other,ok
144541,TATA Fixed Maturity Plan Series 55 Sch F Direct Plan - Payout of Income Distribution cum capital withdrawal option ,Other,ok
144542,Tata Fixed Maturity Plan Series 55 Scheme F-Direct Plan-Growth,Other,ok
144543,TATA Flexi Cap Fund Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option,Flexi Cap,ok
144546,Tata Flexi Cap Fund-Direct Plan-Growth,Flexi Cap,ok
144547,TATA Flexi Cap Fund - Direct Plan - Payout of Income Distribution cum capital withdrawal option ,Flexi Cap,ok
144552,Aditya Birla Sun Life Fixed Term Plan - Series QV (1100 days) - Direct Plan-Growth,Other,ok
144556,HSBC Fixed Term Series 136 - Direct Plan Growth Option,Other,ok
144560,HDFC FMP 1113D August 2018 (1) - Growth Option - Direct Plan,Other,ok
144567,Aditya Birla Sun Life Fixed Term Plan - Series QW (1099 days) - Direct Plan-Growth,Other,ok
144571,UTI Fixed Term Income Fund Series XXX-I (1104 days) - Direct Plan - Growth Option,Other,ok
144584,DSP FMP Series - 242 - 3M - Direct Plan - Growth,Other,skip
144589,Kotak FMP Series 239 - Direct Plan - Growth option,Other,ok
144590,Kotak FMP Series 239 - Direct Plan - Payout of Income Distribution cum capital withdrawal Option,Other,ok
144594,Reliance Fixed Horizon Fund XXXVIII- Series 13- Direct Plan- Growth Option,Other,skip
144599,ICICI Prudential Fixed Maturity Plan - Series 83 - 1111 Days Plan Y - Direct Plan Cumulative Option,Other,ok
144603,ICICI Prudential Fixed Maturity Plan - Series 83 - 1100 Days Plan X - Direct Plan Cumulative Option,Other,ok
144610,Invesco India Fixed Maturity Plan - Series 32 - Plan D - Direct - Growth,Other,ok
144614,Kotak FMP Series 240 - Direct Plan - Growth Option,Other,ok
144620,Tata Fixed Maturity Plan Series 55 Scheme G-Direct Plan-Growth,Other,ok
144621,TATA Fixed Maturity Plan Series 55 Sch G Direct Plan - Payout of Income Distribution cum capital withdrawal option ,Other,ok
144626,Nippon India Fixed Horizon Fund XXXVIII- Series 14- Direct Plan- Growth Option,Other,ok
144633,DSP FMP Series - 243 - 36M - Direct Plan - Growth,Other,ok
144634,BNP Paribas India Consumption Fund - Direct Plan - Growth Option,Sectoral - Consumption,ok
144637,BNP Paribas India Consumption Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option,Sectoral - Consumption,ok
144641,PGIM India Fixed Duration Fund - Series BE - Direct Plan - Growth Option,Other,ok
144646,DSP Corporate Bond Fund - Direct - Growth,Corporate Bond,ok
144653,Franklin India Fixed Maturity Plans Series 4 Plan C (1098 days) -Growth -Direct,Other,ok
144658,Navi Arbitrage Fund - Direct Plan - Growth,Arbitrage Fund,ok
144666,UTI Fixed Term Income Fund Series XXX-II (1107 days) - Direct Plan - Growth Option,Other,ok
144671,Kotak FMP Series 242 - Direct Plan  -Growth Option,Other,ok
144672,Kotak FMP Series 242 - Direct Plan - Payout of Income Distribution cum capital withdrawal Option,Other,ok
144673,Kotak India Growth Fund Series 7 - Direct Plan - Growth Option,Other,ok
144675,Kotak India Growth Fund Series 7 -Direct Plan  -ayout of Income Distribution cum capital withdrawal option ,Other,ok
144681,Motilal Oswal Equity Hybrid Fund (MOFEH) - Direct Plan Growth Option,Aggressive Hybrid,ok
144686,Aditya Birla Sun Life Fixed Term Plan - Series QQ (1100 days) - Direct Plan-Growth,Other,ok
144690,Reliance Fixed Horizon Fund XXXVIII- Series 15- Direct Plan- Growth Option,Other,skip
144692,Nippon India Fixed Horizon Fund XXXIX- Series 1- Direct Plan- Growth Option,Other,ok
144697,ICICI Prudential Fixed Maturity Plan - Series 83 - 1101 Days Plan Z - Direct Plan Cumulative Option,Other,ok
